date,RV,RQ,RS_plus,RS_minus,delta_J,BV,nobs,RQ_rv2
2000-05-14,6.48560927867739e-05,3.1772656425168126e-09,5.2263179227406175e-05,1.2592913559367724e-05,3.967026566803845e-05,5.6367239089002866e-05,10543.0,4.206312771566625e-09
2000-05-15,0.0001793652233361,2.717663900029416e-08,8.280311843413053e-05,9.656210490196948e-05,-1.3758986467838946e-05,0.000164853386378,10593.0,3.2171883342409037e-08
2000-05-16,0.00019985451432,6.367488327235186e-09,2.790735260259998e-05,0.0001719471617174,-0.00014403980911480003,7.979654332886347e-05,10799.0,3.994182689408308e-08
2000-05-17,5.050335316548048e-05,1.8427250010433812e-09,2.6347527444463102e-05,2.415582572101738e-05,2.1917017234457216e-06,4.292697288469548e-05,10596.0,2.5505886809572476e-09
2000-05-18,0.000137123128584,1.0604247297697996e-08,4.3717433462491895e-05,9.340569512150812e-05,-4.968826165901622e-05,0.0001029769260451,10854.0,1.8802752392664202e-08
2000-05-21,0.0002386161148548,6.937253057434948e-08,9.434085088499999e-05,0.0001442752639698,-4.993441308480002e-05,0.0002633866560294,11138.0,5.69376502683991e-08
2000-05-22,0.0001009981351266,1.1947482506475237e-08,3.846169964870645e-05,6.253643547789354e-05,-2.4074735829187092e-05,0.0001093045401915,10936.0,1.0200623299050953e-08
2000-05-23,0.0001860155102224,2.6037090741491374e-08,0.0001179511918117445,6.806431841065549e-05,4.988687340108902e-05,0.0001613601274835,11368.0,3.4601770043299795e-08
2000-05-24,0.0001844605110812,2.1092130270921658e-08,5.4803168241199994e-05,0.00012965734284,-7.48541745988e-05,0.0001452312992124,11063.0,3.4025680148337505e-08
2000-05-25,0.0001268682850406,2.1884562752905537e-08,6.444272458382308e-05,6.242556045677691e-05,2.0171641270461734e-06,0.0001479343190504,10829.0,1.6095561749142927e-08
2000-05-29,0.0001374203483597,3.1641763379034263e-09,0.00012024425083270955,1.717609752699044e-05,0.00010306815330571911,5.62510118833735e-05,10717.0,1.88843521433013e-08
2000-05-30,9.669263872209253e-05,1.0867608423330774e-08,5.7234305106243264e-05,3.945833361584926e-05,1.7775971490394002e-05,0.0001042478221515,10923.0,9.349466383041106e-09
2000-05-31,7.311198423716381e-05,4.164756223876601e-09,4.780759629361233e-05,2.530438794355148e-05,2.2503208350060855e-05,6.453492251391181e-05,10958.0,5.34536223909529e-09
2000-06-01,0.0001952149474434,3.1555247394490285e-09,0.00017762391219734198,1.7591035246058006e-05,0.000160032876951284,5.617405753058104e-05,10799.0,3.810887570532942e-08
2000-06-04,6.64599102839037e-05,5.195534470450878e-09,3.379217062952716e-05,3.2667739654376536e-05,1.1244309751506253e-06,7.208005598257314e-05,10874.0,4.416919674944528e-09
2000-06-05,9.139095546030826e-05,4.451779469230714e-09,3.027467201932581e-05,6.111628344098245e-05,-3.084161142165664e-05,6.672165667330746e-05,10863.0,8.352306739948049e-09
2000-06-06,6.182089909200448e-05,3.1222618530653697e-09,3.7578882468144354e-05,2.424201662386012e-05,1.3336865844284232e-05,5.587720333969274e-05,10849.0,3.8218235645438e-09
2000-06-07,9.47473043531704e-05,2.339561550016437e-09,2.0054589512929406e-05,7.469271484024099e-05,-5.4638125327311586e-05,4.8369014358537814e-05,10859.0,8.977051682192302e-09
2000-06-08,6.972548885348799e-05,1.8040152991233146e-09,4.1458822116694445e-05,2.826666673679355e-05,1.3192155379900893e-05,4.247370126470396e-05,10460.0,4.861643795857878e-09
2000-06-11,3.880146066290603e-05,1.40242243031475e-09,1.5151467249169936e-05,2.3649993413736096e-05,-8.49852616456616e-06,3.744893096357692e-05,10315.0,1.505553349575044e-09
2000-06-12,7.127041313040127e-05,4.981776222095715e-09,3.883437720928988e-05,3.243603592111139e-05,6.398341288178493e-06,7.058169891760693e-05,10647.0,5.079471787778073e-09
2000-06-13,8.560285558525761e-05,6.918446666917079e-09,4.898677135396971e-05,3.66160842312879e-05,1.237068712268181e-05,8.317720040321794e-05,10847.0,7.327848884350471e-09
