date,RV,RQ,RS_plus,RS_minus,delta_J,BV,nobs,RQ_rv2
2009-05-31,0.0001658654492023,7.753794065898516e-09,0.00013839223229546513,2.7473216906834863e-05,0.00011091901538863027,8.805563051786362e-05,1560.0,2.751134723908076e-08
2009-06-01,0.0001352605191585,1.3524792053439324e-08,6.283915579908397e-05,7.242136335941602e-05,-9.582207560332044e-06,0.0001162961394606,1563.0,1.8295408043026945e-08
2009-06-02,0.0001469834761426,6.354859413341677e-09,5.614808428914293e-05,9.083539185345708e-05,-3.468730756431415e-05,7.971737209254754e-05,1561.0,2.1604142258962266e-08
2009-06-03,8.01792630269607e-05,4.308132356768195e-09,4.861235385065464e-05,3.156690917630607e-05,1.704544467434857e-05,6.563636459134673e-05,1560.0,6.428714219546548e-09
2009-06-04,0.0002266565785039,4.6678324736684427e-08,8.46343320495e-05,0.0001420222464544,-5.7387914404899995e-05,0.0002160516714508,1562.0,5.137320457909458e-08
2009-06-07,0.000156842103851,2.474714375676337e-08,8.47130146650311e-05,7.212908918596891e-05,1.2583925479062185e-05,0.0001573122492267,1561.0,2.459944554040787e-08
2009-06-08,9.526008681676342e-05,6.3848384810522075e-09,4.866327356483322e-05,4.65968132519302e-05,2.066460312903019e-06,7.990518431899277e-05,1561.0,9.074484140337303e-09
2009-06-09,0.0001788265909649,1.4403100171480778e-08,9.183590885438009e-05,8.69906821105199e-05,4.845226743860191e-06,0.000120012916686,1886.0,3.197894963612765e-08
2009-06-10,0.0001427182958237,1.0607128867153038e-08,8.732016932160018e-05,5.539812650209981e-05,3.192204281950037e-05,0.0001029909164303,1561.0,2.0368511962821142e-08
2009-06-11,9.673849360857287e-05,5.631253022977266e-09,4.8767066765681196e-05,4.797142684289168e-05,7.956399227895171e-07,7.504167524101035e-05,1558.0,9.358336145655895e-09
2009-06-14,0.0001948222193771,8.43290250397251e-09,2.7961404293999983e-05,0.0001668608150831,-0.00013889941078910003,9.183083634581856e-05,1559.0,3.7955697163018874e-08
2009-06-15,0.0001081586418713,1.0105539740179754e-08,4.559690466396745e-05,6.256173720733255e-05,-1.6964832543365095e-05,0.0001005263136705,1557.0,1.1698291811444128e-08
2009-06-16,0.0001553503040355,2.7213616896533296e-08,7.18153002433682e-05,8.353500379213179e-05,-1.1719703548763587e-05,0.0001649655021407,1560.0,2.4133716963922285e-08
2009-06-17,9.226448858699006e-05,7.13656558450122e-09,5.6118025902785796e-05,3.6146462684204266e-05,1.997156321858153e-05,8.447819591173346e-05,1559.0,8.512735854218819e-09
2009-06-18,9.198485963891224e-05,3.4777356290723775e-09,6.279185848686663e-05,2.9193001152045608e-05,3.359885733482102e-05,5.89723293509115e-05,1558.0,8.461214402790386e-09
2009-06-21,0.0001924705304727,1.2063233911171233e-08,3.014108766720002e-05,0.0001623294428055,-0.00013218835513829997,0.0001098327542729,1560.0,3.704490510044254e-08
2009-06-22,0.000159686736511,2.467939322650131e-08,7.992211167069916e-05,7.976462484030084e-05,1.5748683039831942e-07,0.0001570967638957,1560.0,2.5499853817533542e-08
2009-06-23,0.0001388395013843,1.3784055756689977e-08,7.086015140289933e-05,6.797934998140067e-05,2.8808014214986623e-06,0.0001174055184252,1558.0,1.927640714464104e-08
2009-06-24,0.0001311179884326,1.3906418151503208e-08,9.70302928136213e-05,3.408769561897869e-05,6.294259719464261e-05,0.0001179254771095,1560.0,1.7191926890611425e-08
2009-06-25,9.899354257831976e-05,6.262676726508953e-09,5.238283304283661e-05,4.661070953548315e-05,5.772123507353458e-06,7.913707554938427e-05,1560.0,9.799721472205607e-09
2009-06-28,6.694928615871277e-05,5.472529908585463e-09,3.521299622800052e-05,3.173628993071225e-05,3.476706297288266e-06,7.397654972074234e-05,1547.0,4.48220691716121e-09
