date,RV,RQ,RS_plus,RS_minus,delta_J,BV,nobs,RQ_rv2
2005-08-09,5.499821735382613e-05,2.021121296225255e-09,2.1863243677021802e-05,3.313497367680433e-05,-1.1271729999782527e-05,4.495688263464511e-05,1540.0,3.024803912098702e-09
2005-08-10,3.0748556839062596e-05,6.19019390430153e-10,1.8225706935200533e-05,1.2522849903862064e-05,5.702857031338469e-06,2.4880100289792905e-05,1529.0,9.45473747685063e-10
2005-08-11,4.185779326261624e-05,2.1444522820213467e-09,2.467020081299415e-05,1.7187592449622093e-05,7.482608363372056e-06,4.630823125559156e-05,1540.0,1.7520748568159215e-09
2005-08-14,4.12770281980579e-05,1.3226369137378275e-09,3.334134299981479e-05,7.935685198243113e-06,2.5405657801571675e-05,3.636807547475983e-05,1540.0,1.703793056863267e-09
2005-08-15,2.893374080280834e-05,6.97908636517493e-10,6.561489756847213e-06,2.2372251045961128e-05,-1.5810761289113915e-05,2.6417960491254675e-05,1540.0,8.371613568440963e-10
2005-08-16,3.147499673719055e-05,6.772845640585867e-10,1.5634243076150594e-05,1.5840753661039956e-05,-2.0651058488936163e-07,2.6024691430612327e-05,1540.0,9.906754196061557e-10
2005-08-17,2.573015238636389e-05,4.2498371094464315e-10,9.651804425728482e-06,1.6078347960635407e-05,-6.426543534906925e-06,2.061513305668055e-05,1540.0,6.620407418255074e-10
2005-08-18,6.901474383711989e-06,3.189088694781157e-11,2.723242047055369e-06,4.17823233665662e-06,-1.4549902896012505e-06,5.647201691794935e-06,1539.0,4.7630348669032774e-11
2005-08-21,2.1450738519219648e-05,3.2609259337486533e-10,1.2011054726021684e-05,9.439683793197965e-06,2.571370932823719e-06,1.8058034039586517e-05,1540.0,4.6013418301993354e-10
2005-08-22,2.241793756622687e-05,2.7130537947398335e-10,8.819896749659094e-06,1.3598040816567776e-05,-4.778144066908682e-06,1.647135026262217e-05,1541.0,5.025639247232459e-10
2005-08-23,7.124096913648974e-05,4.259521927347241e-09,2.712789493764943e-05,4.411307419884031e-05,-1.698517926119088e-05,6.526501304180702e-05,1540.0,5.075275683506284e-09
2005-08-24,1.553468408105491e-05,1.8391072677136485e-10,8.107020143378788e-06,7.42766393767612e-06,6.793562057026681e-07,1.3561368912147654e-05,1525.0,2.413264094981808e-10
2005-08-25,2.3612493758047415e-05,4.798868736081742e-10,7.785825304845685e-06,1.582666845320173e-05,-8.040843148356046e-06,2.1906320403211815e-05,1454.0,5.575498614738281e-10
2005-08-28,2.017763353208774e-05,3.214118699916122e-10,1.727106525429651e-05,2.9065682777912256e-06,1.4364496976505288e-05,1.792796335314227e-05,1540.0,4.071368949552315e-10
2005-08-29,3.678170225749311e-05,1.2076315487985607e-09,2.297315024256998e-05,1.3808552014923129e-05,9.164598227646852e-06,3.4750993493691094e-05,1540.0,1.3528936209588736e-09
2005-08-30,3.868710195454172e-05,1.070277117453888e-09,3.3688725957943424e-05,4.998375996598295e-06,2.8690349961345125e-05,3.2715090057248626e-05,1540.0,1.4966918576411056e-09
2005-08-31,4.168462013920379e-05,1.0285191959029517e-09,2.680972704750687e-05,1.4874893091696922e-05,1.1934833955809948e-05,3.2070534699361525e-05,1530.0,1.7376075561497144e-09
2005-09-01,1.6636590805467e-05,2.0836696716528753e-10,7.193712897367675e-06,9.442877908099325e-06,-2.2491650107316496e-06,1.4434921792835856e-05,1540.0,2.767761536285491e-10
2005-09-05,1.4864940781963277e-05,1.9660337899612563e-10,1.058844369140012e-05,4.276497090563157e-06,6.311946600836962e-06,1.402153269069133e-05,1540.0,2.20966464451275e-10
2005-09-06,1.5303377731368467e-05,2.0258267690436856e-10,1.1972647717991853e-05,3.330730013376614e-06,8.641917704615239e-06,1.423315414461491e-05,1540.0,2.341933699889443e-10
2005-09-07,1.3923586451988915e-05,1.1644987314999247e-10,5.216501472377989e-06,8.707084979610927e-06,-3.490583507232938e-06,1.0791194241139045e-05,1540.0,1.9386625968600928e-10
